date,open,high,low,close,shares traded,turnover
19-May-23,13799,13876.55,13647.6,13863.55,55715000,3139.93
22-May-23,13856.3,13925.15,13823.4,13890.5,34928117,1767.1
23-May-23,13907.55,13994.6,13884.7,13982.6,48819748,2459.17
24-May-23,13959.9,14035.4,13916.25,13989.6,46195672,2418.03
25-May-23,13963.05,14050.85,13920.75,14029.5,51408958,2851.27
26-May-23,14063.4,14150,14017.65,14130.45,53994145,2695.33
29-May-23,14254.85,14315.35,14158,14219.6,41961864,3072.56
30-May-23,14241.15,14273.3,14164.75,14177.85,29905281,2353.51
31-May-23,14180.65,14236.8,14107.7,14199,144276438,9488.91
1-Jun-23,14202.4,14303.3,14168.75,14257,37129011,2869.39
2-Jun-23,14325.35,14402.25,14263.45,14388.6,38636160,3452.07
5-Jun-23,14469.7,14598.4,14449.75,14570.25,43610216,3026.76
6-Jun-23,14609,14743.45,14594.3,14729.5,41448592,2892.05
7-Jun-23,14798.45,14842.5,14716.35,14819.45,42581759,3164.18
8-Jun-23,14866.25,14903.1,14669.8,14692,54012744,3193.62
9-Jun-23,14730.05,14759.55,14610.2,14626,34319397,2105.19
12-Jun-23,14691.95,14729.2,14601,14673.85,38622414,2126.31
13-Jun-23,14714.25,14744,14643.55,14658.3,37072481,2948.14
14-Jun-23,14692.75,14718.15,14635.9,14682.7,32948384,2100.5
15-Jun-23,14714.9,14815.8,14660.55,14707.85,43850076,2646.18
16-Jun-23,14747.85,14788.15,14701.55,14768.45,81968943,3754.23
19-Jun-23,14807.65,14842.3,14658.05,14676.7,49333245,2291.75
20-Jun-23,14683.9,14810.75,14573.9,14785.65,59257508,3512.8
21-Jun-23,14813,14885.2,14738.3,14777.7,54699459,2764.91
22-Jun-23,14819.9,14871.8,14683,14702.1,53934117,2364.53
23-Jun-23,14706.6,14715.85,14536.35,14550.2,41024748,2189.77
26-Jun-23,14563.05,14745.65,14527.6,14717.85,35005603,2160.16
27-Jun-23,14764.6,14802.55,14694.9,14729.9,36678000,2333.25
28-Jun-23,14798.95,14859.55,14767.4,14840.55,56499379,3433.59
30-Jun-23,14892.45,15182.45,14884.35,15147.65,45001045,3792.68
3-Jul-23,15198.05,15291.55,15089.8,15106.85,41958819,3076.82
4-Jul-23,15180.9,15185.85,15010.1,15035.05,37273950,3669.17
5-Jul-23,15108.4,15304.2,15048.2,15281.9,91046232,5218.8
6-Jul-23,15290.3,15471,15239.1,15453.7,60130230,5473.65
7-Jul-23,15423.2,15565.75,15374.5,15498.85,61864044,4976.96
10-Jul-23,15556.25,15630.2,15387.2,15403.2,50971515,3928.32
11-Jul-23,15486.55,15630.45,15456.45,15617.45,56018296,3511.17
12-Jul-23,15633,15655.2,15549.8,15614.9,70436393,3815.21
13-Jul-23,15685.1,15761.2,15460.8,15519.7,71598700,3358.64
14-Jul-23,15574.45,15605.9,15513.3,15576.1,40125770,3110.68
17-Jul-23,15641.45,15643.8,15477.7,15526.8,45803512,2889.96
18-Jul-23,15558.35,15595.75,15443.05,15513.8,37333233,2463.13
19-Jul-23,15526.3,15559.3,15454.85,15513.15,31286004,2522.7
20-Jul-23,15544.45,15589.9,15434.4,15577,32981468,2557.46
21-Jul-23,15547.4,15645.3,15509.55,15590.35,93148708,3603.17
24-Jul-23,15614.3,15715.65,15581.6,15617.55,55130950,3245.3
25-Jul-23,15689.15,15786.7,15664.35,15765.6,62878142,3917.12
26-Jul-23,15820.85,15912.15,15734.85,15763.25,60292010,4244.83
27-Jul-23,15713.65,15713.9,15492.55,15572,47915102,4091.56
28-Jul-23,15628.45,15631.35,15466.9,15537.9,55578464,3171.52
31-Jul-23,15574.55,15738.15,15512.9,15708.05,38475108,2969.21
1-Aug-23,15720.95,15813.9,15638.7,15688.7,36803325,4702.5
2-Aug-23,15688.75,15694.8,15300.1,15428.9,58063175,4634.45
3-Aug-23,15406.45,15489.9,15316.05,15379.8,37682016,3317.65
4-Aug-23,15469.6,15513.55,15218.6,15328.4,40683113,4092.09
7-Aug-23,15404.6,15441.6,15333.85,15390.9,37936338,3603.5
8-Aug-23,15430.85,15452.6,15280.6,15343.65,37414283,3465.78
9-Aug-23,15381.75,15502.55,15272.6,15486.2,49040699,3837.06
10-Aug-23,15492.55,15522.8,15400.6,15444.8,99897302,5864.7
11-Aug-23,15484,15488.4,15355.75,15378.1,86159842,3325.52
14-Aug-23,15369.75,15371.9,15122.95,15327.45,45543645,2727.92
16-Aug-23,15330.7,15450,15218.9,15425,54226997,3121.96
17-Aug-23,15466.55,15479.4,15339.75,15399.25,42269507,2771.19
18-Aug-23,15379.95,15436.15,15329.95,15391.75,36361406,2688.65
21-Aug-23,15395,15456.15,15338.65,15427.6,33498345,2461.8
22-Aug-23,15445.85,15533,15422.65,15507.9,31638650,2246.21
23-Aug-23,15539.8,15553.35,15471.5,15498.1,33698009,2635.02
24-Aug-23,15579.85,15581.85,15439.45,15459.3,34177070,2621.99
25-Aug-23,15427.5,15493.35,15293.9,15363.6,47401306,2861.74
28-Aug-23,15402.05,15521.8,15392.35,15475.25,41473767,2351.65
29-Aug-23,15515.3,15594.65,15472.65,15578.9,38741204,2275.34
30-Aug-23,15654.2,15732.3,15623.7,15678.1,39277172,3095.79
31-Aug-23,15712.2,15783.15,15643.55,15670.25,233706880,8683.41
1-Sep-23,15708.45,15964.6,15667.4,15928.3,41344377,3745.87
4-Sep-23,16039.6,16040.4,15855.9,15943.6,50879676,3408.38
5-Sep-23,15966.45,16030.35,15919.05,15942.75,34640214,2297.46
6-Sep-23,15973.5,15974.85,15842.8,15921.25,31449721,2441.09
7-Sep-23,15918.6,16014.75,15898.2,15995.85,26432739,2001.58
8-Sep-23,16056.95,16130.45,16012.75,16102.9,38509525,2773.38
11-Sep-23,16173.9,16386.5,16163.45,16374.95,33103976,2833.37
12-Sep-23,16417.65,16428.35,15940.05,16070.05,55191073,3547.78
13-Sep-23,16081.25,16112.95,15926.2,15995.95,33089842,2457.62
14-Sep-23,16065.45,16193.4,16056.9,16169.65,25999008,2329.14
15-Sep-23,16249,16456.8,16241.55,16425.8,51106697,5383.4
18-Sep-23,16451.8,16647.05,16397.4,16563.9,40951718,3995.31
20-Sep-23,16495.2,16628.95,16411.6,16479.7,34972434,3726.64
21-Sep-23,16468.95,16516.55,16160.6,16200.4,33163145,3026.2
22-Sep-23,16214,16301.3,16129.05,16234.35,31961063,3193.8
25-Sep-23,16267,16320.05,16170.5,16221.55,35357786,3145.53
26-Sep-23,16241.55,16325.25,16231.25,16278.25,30572840,2963.67
27-Sep-23,16281.95,16315.8,16195.85,16283.4,30195641,2253
28-Sep-23,16308.25,16327,16041.5,16092.2,40340129,3591.82
29-Sep-23,16146.85,16261.9,16045.1,16184.4,35493579,2843.42
3-Oct-23,16315.35,16316,15955.9,15990.6,34486096,3110.16
4-Oct-23,15952.25,15952.6,15715.9,15782.6,32577434,2309.45
5-Oct-23,15878.95,15960.7,15785.9,15916.1,30204093,2368.38
6-Oct-23,16025.2,16039.8,15966.4,15990.65,21802558,1875.86
9-Oct-23,15891.1,15958.8,15801.85,15832.85,34478437,2329.51
10-Oct-23,15892.25,16059.3,15877.05,16028.7,38603498,2535.97
11-Oct-23,16088.95,16204.25,16085.2,16175.8,37736094,2471.67
12-Oct-23,16232.9,16327.4,16216.85,16301.7,26619454,2894.51
13-Oct-23,16231.25,16468,16229.35,16444.95,51410932,3843.16
16-Oct-23,16460.05,16551.9,16446.15,16519.35,43447711,2908.09
17-Oct-23,16585.7,16618.45,16490.55,16522.75,27945557,2390.13
18-Oct-23,16544.05,16592.95,16482.65,16535.4,35331121,2509.11
19-Oct-23,16458,16645.7,16445.25,16618,30828816,3800.42
20-Oct-23,16579.45,16664.85,16470.25,16497.85,30519798,2532.66
23-Oct-23,16450.85,16538.1,16253.75,16277.85,37065305,2956.92
25-Oct-23,16297.55,16343.65,16082.45,16210.45,29758718,2900.54
26-Oct-23,16129.75,16155.7,15928.6,15953.05,44669099,3510.49
27-Oct-23,16002.25,16279.8,16002.15,16169.15,28692387,3614.19
30-Oct-23,16215.65,16242.35,15831.8,16023.45,32797736,3324.91
31-Oct-23,16139.25,16139.25,15899.25,15916.2,32688052,2864.25
1-Nov-23,15952,16007.5,15807.95,15835.65,26521512,2879.36
2-Nov-23,15948.05,15977.9,15836,15948.65,29090792,2748.2
3-Nov-23,16108.7,16130.1,16015.1,16045.4,41564008,3640.53
6-Nov-23,16156.95,16185.65,16102.85,16172.75,31297542,3004.11
7-Nov-23,16171.4,16220.35,16116.6,16143.75,26470224,2273.74
8-Nov-23,16220.2,16235.95,16166,16220.8,26039355,2080.81
9-Nov-23,16253.55,16401.5,16229.65,16355.3,46840214,2972.95
10-Nov-23,16340.75,16341.1,16185.5,16286.7,44352330,2531.39
12-Nov-23,16440.85,16440.85,16364.55,16377.05,7184954,408.42
13-Nov-23,16370.15,16387.2,16307.8,16365.3,27037348,1897.71
15-Nov-23,16522.65,16666.8,16421.75,16648.5,43869066,3838.82
16-Nov-23,16667.3,16863.85,16632.3,16788.9,41826716,3807.32
17-Nov-23,16819.35,16951.6,16798.9,16905.5,45613210,3310.7
20-Nov-23,16912.45,16951.3,16730.1,16777.3,33845576,2802.7
21-Nov-23,16824.65,16871.4,16758.3,16860.1,38249842,2784.85
22-Nov-23,16880.1,16992.55,16767.65,16972.2,43697884,3786.79
23-Nov-23,17018.75,17067.95,16993.75,17033.55,28388853,3797.17
24-Nov-23,17067.15,17080.85,17014.1,17040.35,29832601,2476.58
28-Nov-23,17092,17230.55,17047.1,17202.75,46757062,3360.62
29-Nov-23,17286.5,17503.75,17244.25,17482.45,66065563,4173.64
30-Nov-23,17514.65,17588.55,17436.7,17551.85,81814040,6940.98
1-Dec-23,17611.25,17644.75,17462.05,17489.05,50137533,4047.89
4-Dec-23,17756.15,17756.95,17530.95,17687.25,66188276,4953.03
5-Dec-23,17728.85,17868.5,17681.6,17792.1,49097601,4275.13
6-Dec-23,17775.35,17827.7,17672.95,17788.4,48230509,3868.18
7-Dec-23,17865.75,18005.6,17757.4,17867.35,42433008,4089.41
8-Dec-23,17914.95,17948.25,17663.3,17769.1,42856813,3168.01
11-Dec-23,17811.15,17885.85,17711.65,17852.3,54237036,3308.2
12-Dec-23,17927.4,17935,17630.65,17726.5,40242369,4054.48
13-Dec-23,17753.8,17937.15,17699.65,17917.9,41820976,3689.59
14-Dec-23,17998.55,18077,17926.6,18045.05,58754702,3886.91
15-Dec-23,18179.2,18182.1,17843.25,18038.25,52909545,4929.9
18-Dec-23,18048.45,18156.1,17969.75,18068.25,35153021,3453.13
19-Dec-23,18112.25,18116.55,17905.1,17932.7,32126372,2735.65
20-Dec-23,18019.1,18038.5,17479.9,17523.55,53666032,3930.03
21-Dec-23,17405,17603.55,17294.35,17537.85,49255611,3437.92
22-Dec-23,17627.75,17840.6,17566.85,17778.9,38606765,3388.11
26-Dec-23,17841.9,17977.05,17806.9,17953.55,39441172,2781.48
27-Dec-23,18040.35,18242.85,18009.75,18224.85,55165607,4246.12
28-Dec-23,18244.35,18446.55,18234.75,18408.6,54346500,4971.97
29-Dec-23,18440.8,18719.5,18417.85,18618.2,158226628,7210.95
1-Jan-24,18666.35,18707.8,18565.05,18594.35,111119738,4089.43
2-Jan-24,18651.35,18664.35,18241,18339.35,80495853,4871.81
3-Jan-24,18361.3,18395.45,18175.5,18317.5,49691190,3852.11
4-Jan-24,18428.95,18428.95,18296.75,18326.75,59064589,4445.03
5-Jan-24,18378.45,18514.75,18345.2,18406.95,56528639,4216.8
8-Jan-24,18490.65,18556.75,18332.3,18350.2,60751582,3477.28
9-Jan-24,18542.45,18606.15,18402.4,18519.8,64931318,5506.26
10-Jan-24,18565.6,18575.1,18384.45,18559.1,55216503,3678.31
11-Jan-24,18648.5,18826.9,18631.45,18755.1,67888356,5589.09
12-Jan-24,18771,18798.75,18588.15,18715.2,48862199,3787.73
15-Jan-24,18796.65,18799.4,18623.6,18765.25,48437034,2979.08
16-Jan-24,18749.1,18865.85,18642.3,18712.7,46996165,3686.79
17-Jan-24,18537,18620,18413.65,18447.25,49750584,4058.9
18-Jan-24,18402.5,18528.45,18142.5,18496.25,52982976,4054.42
19-Jan-24,18585.05,18708.35,18572.75,18694.6,36218101,3008.96
20-Jan-24,18752.25,18786.75,18592.15,18651.1,19996841,1444.47
23-Jan-24,18649.6,18763,18314.15,18361,63360536,5331.29
24-Jan-24,18384.6,18632.15,18143.75,18593.7,48266011,3787.16
25-Jan-24,18707.75,18709.1,18434.45,18614.9,76636303,5712.7
29-Jan-24,18631,18949.6,18570.75,18927.25,62622012,4783.34
30-Jan-24,18993.65,19123.7,18859.1,18878.35,49829948,4448.22
31-Jan-24,18887.15,19257.1,18861.55,19227.15,61585425,5869.1
1-Feb-24,19351.85,19559.55,19283.35,19328.7,55933737,6127.36
2-Feb-24,19364,19563.05,19304.75,19380.5,55128244,4842.82
5-Feb-24,19655.85,19823.35,19529.2,19615.3,115089413,7322.17
6-Feb-24,19731.2,19912.45,19683.9,19903.85,102438688,5021.25
7-Feb-24,19977.75,20033.6,19762.2,19903.8,54477950,3187.76
8-Feb-24,19963.25,19974.55,19607.5,19649.5,42430202,3512.44
9-Feb-24,19709.75,19713.35,19365.2,19576,44856871,3727.94
12-Feb-24,19644,19653.15,19364.5,19419.6,53756038,4282.81
13-Feb-24,19504.95,19554,19235.9,19433.05,57177542,4234.58
